acquisition,volume,slice,normalization_scale,computed_flipped_scale,reference_max_abs_consistency_error,zf_max_abs_consistency_error,mask_max_abs_consistency_error,ram_equivariance_psnr,ram_equivariance_nmse,ram_equivariance_mean_abs_error,original_ram_psnr,flipped_ram_psnr,delta_ram_psnr,original_ram_ssim,flipped_ram_ssim,delta_ram_ssim,original_ram_nmse,flipped_ram_nmse,delta_ram_nmse
AXT1PRE,file_brain_AXT1PRE_200_6002087,4,0.0005211693933233619,0.0005211693933233619,0.0,2.384185791015625e-07,0.0,39.91426189724116,0.0014276155628717153,0.007077076006680727,35.66156768798828,35.46514129638672,-0.1964263916015625,0.9184326529502869,0.9150521755218506,-0.0033804774284362793,0.004198361653834581,0.004392609931528568,0.0001942482776939869
AXT1PRE,file_brain_AXT1PRE_200_6002087,5,0.0005046303267590702,0.0005046303849667311,0.0,2.980232238769531e-07,0.0,41.25879700222562,0.0010341069896412619,0.0059043969959020615,36.154666900634766,36.12941360473633,-0.0252532958984375,0.9213730692863464,0.9224638938903809,0.0010908246040344238,0.0038086839485913515,0.0038308945950120687,2.221064642071724e-05
AXT1PRE,file_brain_AXT1PRE_200_6002087,13,0.00041987019358202815,0.0004198702226858586,0.0,3.5762786865234375e-07,0.0,43.96413389867327,0.0011443054913823248,0.0036421387922018766,36.28998565673828,36.56668472290039,0.2766990661621094,0.9451403617858887,0.9441841840744019,-0.0009561777114868164,0.006910535506904125,0.006483974866569042,-0.000426560640335083
AXT1PRE,file_brain_AXT1PRE_203_6000866,3,0.00036996713606640697,0.0003699671069625765,0.0,4.76837158203125e-07,0.0,41.612988094017695,0.0012929568422757076,0.00828815158456564,32.968772888183594,33.202117919921875,0.23334503173828125,0.8764927387237549,0.8802680969238281,0.003775358200073242,0.011455107480287552,0.01085586566478014,-0.000599241815507412
AXT1PRE,file_brain_AXT1PRE_203_6000866,12,0.00032089417800307274,0.00032089417800307274,0.0,3.5762786865234375e-07,0.0,50.942753373889225,0.0001915609449300755,0.0021615426521748304,34.56682205200195,34.561607360839844,-0.005214691162109375,0.9036574959754944,0.903691828250885,3.4332275390625e-05,0.009572514332830906,0.009584014303982258,1.1499971151351929e-05
AXT1PRE,file_brain_AXT1PRE_203_6000866,13,0.0002989232016261667,0.00029892323072999716,0.0,3.5762786865234375e-07,0.0,52.77746525165435,0.0001631206504307928,0.0019225901924073696,35.441246032714844,35.42878341674805,-0.012462615966796875,0.9125802516937256,0.911925196647644,-0.000655055046081543,0.009692336432635784,0.009720194153487682,2.7857720851898193e-05
AXT1PRE,file_brain_AXT1PRE_203_6000687,4,0.0004893220611847937,0.0004893220611847937,0.0,3.5762786865234375e-07,0.0,40.12022056649964,0.0015099795892054167,0.007886379957199097,34.44599914550781,34.54558563232422,0.09958648681640625,0.9088388085365295,0.9104334712028503,0.0015946626663208008,0.006016612518578768,0.005880220327526331,-0.00013639219105243683
AXT1PRE,file_brain_AXT1PRE_203_6000687,5,0.0004871921264566481,0.00048719215556047857,0.0,3.5762786865234375e-07,0.0,41.64200731093847,0.0011044374862815881,0.006779714021831751,34.690826416015625,34.70032501220703,0.00949859619140625,0.9053268432617188,0.904912531375885,-0.00041431188583374023,0.00546238711103797,0.005450453609228134,-1.1933501809835434e-05
AXT1PRE,file_brain_AXT1PRE_203_6000687,8,0.0004766072961501777,0.0004766072961501777,0.0,2.980232238769531e-07,0.0,43.73383521752779,0.000797172420602803,0.004714514594525099,35.952110290527344,35.51543045043945,-0.4366798400878906,0.9138611555099487,0.9098863005638123,-0.003974854946136475,0.004714412614703178,0.005213097203522921,0.0004986845888197422
AXT1PRE,file_brain_AXT1PRE_203_6000618,3,0.0003738492669072002,0.0003738492669072002,0.0,3.5762786865234375e-07,0.0,40.35353542406574,0.0011528103827889743,0.008502366952598095,32.742576599121094,32.793941497802734,0.051364898681640625,0.8807963132858276,0.8810989260673523,0.0003026127815246582,0.00781377125531435,0.0077218953520059586,-9.187590330839157e-05
AXT1PRE,file_brain_AXT1PRE_203_6000618,9,0.0003873509122058749,0.0003873509122058749,0.0,3.5762786865234375e-07,0.0,42.6117681307985,0.0009544036235273902,0.005336510483175516,34.82333755493164,34.687557220458984,-0.13578033447265625,0.9111889600753784,0.9117727279663086,0.0005837678909301758,0.007118432782590389,0.007344500161707401,0.00022606737911701202
AXT1PRE,file_brain_AXT1PRE_203_6000618,11,0.0003723050176631659,0.0003723051049746573,0.0,3.5762786865234375e-07,0.0,48.14401831328016,0.0003733823293776297,0.002893387107178569,35.43526077270508,35.31268310546875,-0.12257766723632812,0.9198119640350342,0.9200982451438904,0.00028628110885620117,0.0071244025602936745,0.007328353822231293,0.00020395126193761826
AXT1PRE,file_brain_AXT1PRE_200_6002448,2,0.0005215336568653584,0.0005215335986576974,0.0,3.5762786865234375e-07,0.0,41.17746545765315,0.0011454966117670654,0.005940771661698818,36.030029296875,36.119468688964844,0.08943939208984375,0.929175615310669,0.9294782280921936,0.0003026127815246582,0.003962255548685789,0.0038814889267086983,-8.076662197709084e-05
AXT1PRE,file_brain_AXT1PRE_200_6002448,4,0.0004874532460235059,0.0004874532460235059,0.0,3.5762786865234375e-07,0.0,42.67626508974608,0.0008199232620674905,0.005157399922609329,37.70592498779297,37.61696243286133,-0.08896255493164062,0.937452495098114,0.9363172650337219,-0.0011352300643920898,0.002714375965297222,0.002770551946014166,5.617598071694374e-05
AXT1PRE,file_brain_AXT1PRE_200_6002448,6,0.00045943984878249466,0.0004594398778863251,0.0,3.5762786865234375e-07,0.0,44.30846208688573,0.0006101504875223457,0.0044310810044407845,38.0859489440918,38.16123962402344,0.07529067993164062,0.9407052397727966,0.9407684206962585,6.318092346191406e-05,0.0025379394646734,0.0024943214375525713,-4.361802712082863e-05
AXT1POST,file_brain_AXT1POST_208_2080649,7,0.0004463061923161149,0.0004463062505237758,0.0,3.5762786865234375e-07,0.0,41.54908150032025,0.0016622966088387,0.005999727174639702,36.5322151184082,36.61872863769531,0.08651351928710938,0.9275772571563721,0.9270908832550049,-0.0004863739013671875,0.005694009829312563,0.0055817048996686935,-0.0001123049296438694
AXT1POST,file_brain_AXT1POST_208_2080649,10,0.0004282529989723116,0.00042825291166082025,0.0,4.172325134277344e-07,0.0,44.77045949239321,0.0008252636739098469,0.003681811736896634,37.02450180053711,36.96128845214844,-0.06321334838867188,0.9423782229423523,0.9422193765640259,-0.00015884637832641602,0.005439639091491699,0.005519394297152758,7.975520566105843e-05
AXT1POST,file_brain_AXT1POST_208_2080649,13,0.000334028503857553,0.000334028503857553,0.0,4.172325134277344e-07,0.0,49.81409360961048,0.0002691635951329312,0.0020098378881812096,38.686737060546875,38.82062530517578,0.13388824462890625,0.9297012090682983,0.9311387538909912,0.001437544822692871,0.004065109882503748,0.003941700793802738,-0.00012340908870100975
AXT1POST,file_brain_AXT1POST_201_6002675,4,0.00032665443723089993,0.0003266544663347304,0.0,3.5762786865234375e-07,0.0,38.61131233883981,0.0023609126580801582,0.009924549609422684,31.59065055847168,31.728239059448242,0.1375885009765625,0.8737818598747253,0.8870962262153625,0.013314366340637207,0.01159182284027338,0.011230342090129852,-0.000361480750143528
AXT1POST,file_brain_AXT1POST_201_6002675,6,0.00032005729735828936,0.00032005729735828936,0.0,3.5762786865234375e-07,0.0,40.10936085433033,0.001605502676574258,0.007901878096163273,32.45228576660156,32.22669219970703,-0.22559356689453125,0.8982264399528503,0.8955889940261841,-0.0026374459266662598,0.00952362921088934,0.01003140676766634,0.0005077775567770004
AXT1POST,file_brain_AXT1POST_201_6002675,8,0.0003071774553973228,0.0003071774553973228,0.0,3.5762786865234375e-07,0.0,41.6790801578979,0.0015044081591123215,0.006406837143003941,32.297889709472656,32.14252471923828,-0.155364990234375,0.905777096748352,0.899516224861145,-0.006260871887207031,0.014080306515097618,0.014593114145100117,0.0005128076300024986
AXT1POST,file_brain_AXT1POST_200_6002048,4,0.0005247287917882204,0.0005247287917882204,0.0,3.5762786865234375e-07,0.0,41.63213069623621,0.0011445160106591744,0.005015535280108452,37.60348892211914,37.994869232177734,0.39138031005859375,0.932648777961731,0.9327521324157715,0.00010335445404052734,0.003025482641533017,0.002764752833172679,-0.0002607298083603382
AXT1POST,file_brain_AXT1POST_200_6002048,12,0.0003294085618108511,0.0003294085618108511,0.0,2.980232238769531e-07,0.0,54.98595365027928,6.160254637620738e-05,0.0013638421660289168,36.56161880493164,36.53942108154297,-0.022197723388671875,0.9471732974052429,0.9462273716926575,-0.0009459257125854492,0.005147559102624655,0.0051739332266151905,2.6374123990535736e-05
AXT1POST,file_brain_AXT1POST_200_6002048,13,0.0002770566788967699,0.0002770566497929394,0.0,3.5762786865234375e-07,0.0,54.54714270141316,8.123561500925583e-05,0.0013444480719044805,35.727378845214844,35.6894416809082,-0.037937164306640625,0.9473225474357605,0.947027325630188,-0.00029522180557250977,0.0070323883555829525,0.0070940908044576645,6.170244887471199e-05
AXT1POST,file_brain_AXT1POST_203_6000745,10,0.0005247886874713004,0.0005247887456789613,0.0,3.5762786865234375e-07,0.0,42.191961972813104,0.0009740930414973826,0.005315986927598715,36.15367126464844,36.216148376464844,0.06247711181640625,0.931718111038208,0.9336506724357605,0.0019325613975524902,0.004976046271622181,0.004904973786324263,-7.107248529791832e-05
AXT1POST,file_brain_AXT1POST_203_6000745,12,0.000487750512547791,0.000487750512547791,0.0,3.5762786865234375e-07,0.0,44.32116170190077,0.0008517146492406101,0.004033498000353575,37.162742614746094,37.36270523071289,0.19996261596679688,0.9435362815856934,0.9452798962593079,0.001743614673614502,0.006131085101515055,0.005855192430317402,-0.0002758926711976528
AXT1POST,file_brain_AXT1POST_203_6000745,13,0.000469473481643945,0.0004694735398516059,0.0,4.172325134277344e-07,0.0,44.76266063996771,0.0008217196379316636,0.0031988313421607018,35.9581413269043,36.22691345214844,0.2687721252441406,0.9410638809204102,0.9418877959251404,0.0008239150047302246,0.007222063839435577,0.00678865984082222,-0.00043340399861335754
AXT1POST,file_brain_AXT1POST_205_6000120,2,0.0004915334284305573,0.0004915334284305573,0.0,3.5762786865234375e-07,0.0,41.16047135385959,0.002578451577634596,0.007240144535899162,35.759246826171875,35.56813430786133,-0.19111251831054688,0.9339558482170105,0.9306325316429138,-0.0033233165740966797,0.011699670925736427,0.012226018123328686,0.0005263471975922585
